task_id,need_type,need_value,profit
1,2,60,50
2,2,20,10
3,2,40,50
4,1,30,30
5,2,40,10
6,1,20,10
7,3,10,50
8,2,10,50
9,3,40,10
10,1,50,40
11,3,30,50
12,2,60,30
13,2,60,10
14,1,20,40
15,2,40,10
16,3,50,20
17,2,40,30
18,1,30,10
19,1,50,20
20,1,20,20
21,2,40,50
22,3,30,30
23,1,30,10
24,1,20,50
25,2,60,20
26,3,20,40
27,2,30,40
28,1,60,40
29,1,50,40
30,2,10,30
31,1,40,50
32,2,30,10
33,1,50,10
34,2,30,50
35,1,60,10
36,1,40,20
37,2,20,20
38,1,10,10
39,2,60,30
40,3,10,50
41,2,60,10
42,3,50,40
43,1,60,10
44,1,10,40
45,2,10,50
46,2,50,40
47,2,50,20
48,2,50,50
49,2,30,20
50,2,50,30
51,3,40,20
52,3,30,10
53,1,20,10
54,3,40,50
55,1,50,40
56,3,20,30
57,3,50,50
58,1,10,30
59,3,20,30
60,1,60,30
61,1,60,10
62,2,30,10
63,1,40,50
64,1,30,20
65,2,50,40
66,1,20,30
67,3,60,10
68,2,60,20
69,2,30,10
70,2,30,20
71,3,50,50
72,1,60,30
73,2,40,30
74,2,40,40
75,2,40,50
76,3,50,40
77,1,50,20
78,2,50,30
79,2,30,30
80,2,50,20
81,1,30,50
82,2,40,10
83,1,60,10
84,3,20,40
85,3,30,20
86,2,50,50
87,3,20,10
88,3,20,30
89,3,30,40
90,3,50,30
91,2,40,50
92,1,50,20
93,1,20,30
94,2,20,20
95,2,30,40
96,3,10,20
97,3,20,20
98,2,60,30
99,1,60,40
100,1,40,20
101,1,10,40
102,2,20,10
103,1,20,40
104,1,50,40
105,2,30,50
106,3,40,10
107,3,10,20
108,1,50,20
109,3,10,30
110,1,50,20
111,2,20,30
112,3,60,20
113,3,30,40
114,2,20,20
115,2,60,50
116,1,50,50
117,1,40,20
118,3,20,40
119,2,50,30
120,1,20,50
121,1,60,10
122,2,20,30
123,3,10,50
124,2,20,20
125,3,30,20
126,1,40,10
127,2,40,40
128,1,50,10
129,3,10,30
130,3,60,20
131,3,60,10
132,3,50,10
133,2,40,10
134,2,30,30
135,1,50,50
136,1,10,50
137,3,50,40
138,1,60,40
139,3,40,10
140,1,30,40
141,1,30,10
142,3,50,30
143,2,60,50
144,3,50,50
145,2,30,30
146,1,40,20
147,1,40,30
148,2,40,40
149,1,40,10
150,2,10,20
151,3,30,40
152,1,10,10
153,1,50,50
154,3,30,20
155,3,20,20
156,2,60,40
157,2,40,30
158,2,10,50
159,1,20,20
160,1,60,10
161,1,10,10
162,2,10,40
163,2,10,50
164,3,50,50
165,2,10,40
166,3,10,20
167,3,50,50
168,1,50,20
169,1,30,20
170,1,40,50
171,3,10,50
172,2,40,30
173,1,50,30
174,3,50,50
175,1,50,20
176,2,40,50
177,3,50,10
178,3,10,40
179,3,40,40
180,3,10,40
181,1,10,40
182,2,30,10
183,1,50,50
184,2,40,30
185,3,50,20
186,3,50,10
